CNTYNAME,DIST_ALLR_GRAD
Fayette County,95.5
Fisher County,100.0
Fisher County,100.0
Fisher County,87.0
Fisher County,87.0
Floyd County,96.8
Floyd County,100.0
Floyd County,96.0
Floyd County,96.0
Foard County,95.7
Foard County,100.0
Fort Bend County,95.2
Fort Bend County,95.5
Fort Bend County,98.9
Fort Bend County,99.2
Fort Bend County,93.4
Fort Bend County,94.7
Fort Bend County,94.5
Fort Bend County,95.2
Franklin County,98.3
Franklin County,99.2
Freestone County,97.7
Freestone County,97.7
Freestone County,100.0
Freestone County,100.0
Freestone County,100.0
Freestone County,100.0
Frio County,93.3
Frio County,93.3
Frio County,96.9
Frio County,98.7
Gaines County,93.3
Gaines County,97.7
Gaines County,100.0
Gaines County,100.0
Gaines County,95.3
Gaines County,95.8
Galveston County,100.0
Galveston County,100.0
Galveston County,91.5
Galveston County,92.3
Galveston County,87.5
Galveston County,88.5
Galveston County,100.0
Galveston County,100.0
Galveston County,85.1
Galveston County,88.4
Galveston County,95.2
Galveston County,96.3
Galveston County,91.6
Galveston County,91.8
Galveston County,96.2
Galveston County,97.4
Galveston County,99.2
Galveston County,99.6
Garza County,97.7
Garza County,97.7
Garza County,88.9
Garza County,88.9
Gillespie County,97.9
Gillespie County,97.9
Gillespie County,100.0
Gillespie County,100.0
Glasscock County,100.0
Glasscock County,100.0
Goliad County,98.1
Goliad County,99.0
Gonzales County,95.0
Gonzales County,95.5
Gonzales County,96.9
Gonzales County,98.4
Gonzales County,92.0
Gonzales County,92.0
Gray County,100.0
Gray County,100.0
Gray County,89.5
Gray County,89.5
Gray County,89.9
Gray County,90.6
Grayson County,100.0
Grayson County,100.0
Grayson County,97.4
Grayson County,97.4
Grayson County,92.8
Grayson County,94.9
Grayson County,95.9
Grayson County,95.9
Grayson County,91.4
Grayson County,92.3
Grayson County,100.0
Grayson County,100.0
Grayson County,99.2
Grayson County,100.0
Grayson County,99.0
Grayson County,99.0
Grayson County,94.2
Grayson County,95.6
Grayson County,99.1
Grayson County,99.1
Grayson County,93.5
Grayson County,93.5
Grayson County,98.9
Grayson County,98.9
Grayson County,100.0
Grayson County,100.0
Gregg County,97.5
Gregg County,97.5
Gregg County,92.7
Gregg County,93.5
Gregg County,91.8
Gregg County,92.9
Gregg County,96.2
Gregg County,96.6
Gregg County,97.1
Gregg County,97.1
Gregg County,99.1
Gregg County,99.1
Gregg County,99.2
Gregg County,99.2
Gregg County,97.8
Gregg County,97.8
Grimes County,100.0
Grimes County,100.0
Grimes County,94.3
Grimes County,97.1
Grimes County,94.1
Grimes County,94.6
Grimes County,100.0
Grimes County,100.0
Guadalupe County,88.7
Guadalupe County,89.4
Guadalupe County,96.0
Guadalupe County,97.3
Guadalupe County,94.2
Guadalupe County,94.2
Guadalupe County,99.1
Guadalupe County,100.0
Hale County,98.5
Hale County,98.5
Hale County,100.0
Hale County,100.0
Hale County,97.4
Hale County,97.4
Hale County,100.0
Hale County,100.0
Hale County,93.7
Hale County,94.5
Hall County,97.4
Hall County,97.4
Hall County,100.0
Hall County,100.0
Hamilton County,96.3
Hamilton County,96.3
Hamilton County,97.3
Hamilton County,97.3
Hansford County,100.0
Hansford County,100.0
Hansford County,100.0
Hansford County,100.0
Hardeman County,100.0
Hardeman County,100.0
Hardeman County,91.4
Hardeman County,97.0
Hardin County,87.9
Hardin County,89.2
Hardin County,94.4
Hardin County,95.5
Hardin County,93.8
Hardin County,96.0
Hardin County,92.7
Hardin County,94.4
Hardin County,95.6
Hardin County,95.6
Harris County,94.4
Harris County,100.0
Harris County,81.4
Harris County,82.1
Harris County,95.4
Harris County,95.4
Harris County,0.0
Harris County,0.0
Harris County,80.9
Harris County,80.5
Harris County,94.9
Harris County,94.9
Harris County,95.2
Harris County,95.2
Harris County,77.8
Harris County,80.5
Harris County,100.0
Harris County,100.0
Harris County,95.7
Harris County,95.8
Harris County,92.2
Harris County,95.3
Harris County,98.3
Harris County,98.3
Harris County,98.3
Harris County,99.6
Harris County,86.2
Harris County,91.7
Harris County,79.0
Harris County,82.1
Harris County,88.4
Harris County,90.1
Harris County,89.6
Harris County,90.2
Harris County,94.0
Harris County,94.6
Harris County,93.2
Harris County,93.6
Harris County,91.6
Harris County,93.5
Harris County,90.6
Harris County,92.2
Harris County,91.8
Harris County,93.0
Harris County,82.0
Harris County,83.8
Harris County,94.0
Harris County,95.9
Harris County,94.4
Harris County,95.3
Harris County,91.2
Harris County,93.1
Harris County,93.1
Harris County,93.6
Harris County,89.3
Harris County,90.5
Harris County,85.4
Harris County,86.4
Harris County,89.5
Harris County,90.0
Harris County,97.7
Harris County,98.5
Harris County,91.5
Harris County,92.3
Harris County,95.9
Harris County,98.1
Harrison County,84.4
Harrison County,88.6
Harrison County,90.4
Harrison County,90.4
Harrison County,69.2
Harrison County,70.4
Harrison County,98.1
Harrison County,98.1
Harrison County,98.4
Harrison County,98.4
Hartley County,100.0
Hartley County,100.0
Hartley County,100.0
Hartley County,100.0
Haskell County,97.4
Haskell County,97.4
Haskell County,100.0
Haskell County,100.0
Haskell County,-1.0
Haskell County,-1.0
Hays County,72.4
Hays County,72.4
Hays County,28.6
Hays County,28.6
Hays County,81.4
Hays County,84.0
Hays County,97.6
Hays County,97.8
Hays County,99.4
Hays County,100.0
Hays County,90.0
Hays County,91.3
Hemphill County,100.0
Hemphill County,100.0
Henderson County,94.1
Henderson County,94.5
Henderson County,93.2
Henderson County,95.5
Henderson County,97.5
Henderson County,100.0
Henderson County,98.2
Henderson County,98.2
Henderson County,100.0
Henderson County,100.0
Henderson County,100.0
Henderson County,100.0
Henderson County,100.0
Henderson County,100.0
Hidalgo County,65.3
Hidalgo County,67.6
Hidalgo County,98.5
Hidalgo County,98.9
Hidalgo County,99.2
Hidalgo County,99.2
Hidalgo County,89.1
Hidalgo County,91.1
Hidalgo County,89.6
Hidalgo County,91.5
Hidalgo County,91.9
Hidalgo County,92.5
Hidalgo County,90.3
Hidalgo County,91.0
Hidalgo County,95.8
Hidalgo County,98.1
Hidalgo County,93.7
Hidalgo County,94.4
Hidalgo County,92.9
Hidalgo County,94.2
Hidalgo County,96.3
Hidalgo County,96.8
Hidalgo County,88.8
Hidalgo County,90.1
Hidalgo County,97.6
Hidalgo County,97.7
Hidalgo County,88.5
Hidalgo County,89.5
Hidalgo County,91.7
Hidalgo County,93.6
Hidalgo County,97.4
Hidalgo County,97.4
Hidalgo County,98.4
Hidalgo County,98.3
Hidalgo County,96.5
Hidalgo County,96.5
Hill County,100.0
Hill County,100.0
Hill County,100.0
Hill County,100.0
Hill County,100.0
Hill County,100.0
Hill County,97.5
Hill County,98.3
Hill County,93.8
Hill County,93.8
Hill County,93.6
Hill County,93.6
Hill County,90.0
Hill County,90.0
Hill County,96.1
Hill County,96.1
Hill County,100.0
Hill County,100.0
Hill County,100.0
Hill County,100.0
Hill County,100.0
Hill County,100.0
Hockley County,100.0
Hockley County,100.0
Hockley County,94.0
Hockley County,95.9
Hockley County,97.1
Hockley County,100.0
Hockley County,96.9
Hockley County,96.9
Hockley County,100.0
Hockley County,100.0
Hockley County,100.0
Hockley County,100.0
Hood County,94.5
Hood County,95.1
Hood County,96.7
Hood County,96.7
Hood County,98.2
Hood County,98.2
Hopkins County,90.0
Hopkins County,92.0
Hopkins County,96.0
Hopkins County,96.0
Hopkins County,97.2
Hopkins County,100.0
Hopkins County,100.0
Hopkins County,100.0
Hopkins County,98.0
Hopkins County,100.0
Hopkins County,100.0
Hopkins County,100.0
Hopkins County,88.9
Hopkins County,88.9
Houston County,96.4
Houston County,96.4
Houston County,97.8
Houston County,97.8
Houston County,97.5
Houston County,97.5
Houston County,96.2
Houston County,96.2
Houston County,100.0
Houston County,100.0
Howard County,78.6
Howard County,79.5
Howard County,98.3
Howard County,100.0
Howard County,100.0
Howard County,100.0
Hudspeth County,100.0
Hudspeth County,100.0
Hudspeth County,100.0
Hudspeth County,100.0
Hudspeth County,100.0
Hudspeth County,100.0
Hunt County,97.6
Hunt County,97.6
Hunt County,100.0
Hunt County,100.0
Hunt County,93.8
Hunt County,93.8
Hunt County,96.1
Hunt County,98.4
Hunt County,95.9
Hunt County,100.0
Hunt County,94.9
Hunt County,95.4
Hunt County,100.0
Hunt County,100.0
Hunt County,100.0
Hunt County,100.0
Hunt County,100.0
Hunt County,100.0
Hunt County,100.0
Hunt County,100.0
Hutchinson County,95.0
Hutchinson County,95.0
Hutchinson County,94.4
Hutchinson County,94.4
Hutchinson County,100.0
Hutchinson County,100.0
Irion County,100.0
Irion County,100.0
Jack County,93.8
Jack County,100.0
Jack County,98.6
Jack County,100.0
Jack County,93.8
Jack County,93.8
Jackson County,99.2
Jackson County,99.2
Jackson County,90.0
Jackson County,90.0
Jackson County,97.4
Jackson County,97.4
Jasper County,93.1
Jasper County,93.1
Jasper County,93.6
Jasper County,94.4
Jasper County,91.9
Jasper County,91.9
Jasper County,94.8
Jasper County,95.8
Jasper County,97.0
Jasper County,97.0
Jeff Davis County,100.0
Jeff Davis County,100.0
Jefferson County,70.8
Jefferson County,89.5
Jefferson County,96.9
Jefferson County,96.9
Jefferson County,94.7
Jefferson County,96.7
Jefferson County,82.0
Jefferson County,83.3
Jefferson County,98.3
Jefferson County,98.3
Jefferson County,83.4
Jefferson County,84.5
Jefferson County,100.0
Jefferson County,100.0
Jefferson County,94.8
Jefferson County,94.8
Jim Hogg County,98.8
Jim Hogg County,98.8
Jim Wells County,87.4
Jim Wells County,93.4
Jim Wells County,92.3
Jim Wells County,94.0
Jim Wells County,96.0
Jim Wells County,96.0
Jim Wells County,97.4
Jim Wells County,97.4
Johnson County,95.9
Johnson County,96.3
Johnson County,94.1
Johnson County,95.3
Johnson County,92.0
Johnson County,92.8
Johnson County,98.8
Johnson County,98.8
Johnson County,96.3
Johnson County,96.6
Johnson County,98.7
Johnson County,98.7
Johnson County,95.6
Johnson County,95.6
Johnson County,89.3
Johnson County,90.1
Johnson County,95.3
Johnson County,95.9
Jones County,100.0
Jones County,100.0
Jones County,96.6
Jones County,96.6
Jones County,98.0
Jones County,98.0
Jones County,100.0
Jones County,100.0
Jones County,100.0
Jones County,100.0
Karnes County,94.2
Karnes County,95.2
Karnes County,77.3
Karnes County,77.3
Karnes County,95.2
Karnes County,95.2
Karnes County,100.0
Karnes County,100.0
Kaufman County,97.1
Kaufman County,98.7
Kaufman County,96.9
Kaufman County,97.2
Kaufman County,98.2
Kaufman County,98.6
Kaufman County,91.0
Kaufman County,92.3
Kaufman County,96.8
Kaufman County,97.6
Kaufman County,88.6
Kaufman County,90.4
Kaufman County,98.8
Kaufman County,98.8
Kendall County,77.8
Kendall County,77.8
Kendall County,98.3
Kendall County,98.7
Kendall County,97.8
Kendall County,98.9
Kent County,100.0
Kent County,100.0
Kerr County,97.9
Kerr County,97.9
Kerr County,91.1
Kerr County,93.7
Kerr County,98.8
Kerr County,100.0
Kimble County,100.0
Kimble County,100.0
King County,100.0
King County,100.0
Kinney County,100.0
Kinney County,100.0
Kleberg County,77.9
Kleberg County,82.2
Kleberg County,95.2
Kleberg County,95.2
Kleberg County,100.0
Kleberg County,100.0
Knox County,100.0
Knox County,100.0
Knox County,100.0
Knox County,100.0
Knox County,100.0
Knox County,100.0
Lamar County,96.3
Lamar County,97.5
Lamar County,96.7
Lamar County,97.1
Lamar County,89.4
Lamar County,89.9
Lamar County,96.3
Lamar County,96.3
Lamb County,100.0
Lamb County,100.0
Lamb County,94.2
Lamb County,96.4
Lamb County,100.0
Lamb County,100.0
Lamb County,100.0
Lamb County,100.0
Lamb County,100.0
Lamb County,100.0
Lampasas County,98.7
Lampasas County,99.6
Lampasas County,100.0
Lampasas County,100.0
La Salle County,94.2
La Salle County,94.1
Lavaca County,96.6
Lavaca County,96.6
Lavaca County,95.5
Lavaca County,100.0
Lavaca County,100.0
Lavaca County,100.0
Lee County,98.5
Lee County,98.5
Lee County,98.6
Lee County,98.6
Lee County,100.0
Lee County,100.0
Leon County,98.4
Leon County,98.4
Leon County,91.2
Leon County,94.5
Leon County,92.3
Leon County,94.7
Leon County,100.0
Leon County,100.0
Leon County,97.4
Leon County,97.4
Liberty County,86.3
Liberty County,88.3
Liberty County,97.8
Liberty County,98.3
Liberty County,100.0
Liberty County,100.0
Liberty County,94.6
Liberty County,94.6
Liberty County,92.6
Liberty County,94.7
Liberty County,95.3
Liberty County,96.9
Limestone County,100.0
Limestone County,100.0
Limestone County,94.1
Limestone County,94.0
Limestone County,92.7
Limestone County,95.0
Lipscomb County,92.6
Lipscomb County,92.6
Lipscomb County,88.9
Lipscomb County,88.9
Lipscomb County,100.0
Lipscomb County,100.0
Live Oak County,94.0
Live Oak County,94.0
Live Oak County,98.4
Live Oak County,98.4
Llano County,96.1
Llano County,97.6
Lubbock County,68.5
Lubbock County,72.1
Lubbock County,89.0
Lubbock County,91.5
Lubbock County,95.9
Lubbock County,95.9
Lubbock County,97.6
Lubbock County,97.6
Lubbock County,98.5
Lubbock County,99.2
Lubbock County,95.8
Lubbock County,97.8
Lubbock County,97.0
Lubbock County,98.5
Lubbock County,100.0
Lubbock County,100.0
Lubbock County,100.0
Lubbock County,100.0
Lynn County,94.4
Lynn County,94.4
Lynn County,100.0
Lynn County,100.0
Lynn County,95.7
Lynn County,95.7
Lynn County,100.0
Lynn County,100.0
Madison County,98.8
Madison County,98.8
Madison County,95.7
Madison County,95.7
Marion County,97.8
Marion County,97.8
Martin County,98.3
Martin County,98.3
Martin County,100.0
Martin County,100.0
Mason County,97.7
Mason County,97.7
Matagorda County,92.6
Matagorda County,93.0
Matagorda County,97.3
Matagorda County,98.6
Matagorda County,90.4
Matagorda County,91.2
Matagorda County,98.6
Matagorda County,100.0
Maverick County,95.2
Maverick County,96.5
McCulloch County,95.8
McCulloch County,98.6
McCulloch County,100.0
McCulloch County,100.0
McCulloch County,80.0
McCulloch County,80.0
McLennan County,100.0
McLennan County,100.0
McLennan County,95.3
McLennan County,97.0
McLennan County,100.0
McLennan County,100.0
McLennan County,98.6
McLennan County,99.8
McLennan County,89.2
McLennan County,93.1
McLennan County,99.2
McLennan County,99.2
McLennan County,90.9
McLennan County,90.9
McLennan County,98.8
McLennan County,98.8
McLennan County,96.3
McLennan County,98.1
McLennan County,100.0
McLennan County,100.0
McLennan County,82.7
McLennan County,83.9
McLennan County,96.2
