County_Name,NAICS_Description,Firms,Establishments,Employment,Annual_Payroll
Uvalde,Accommodation,235,235,143105,28442734
Uvalde,Accommodation and Food Services,5514,5517,351387,55486679
Uvalde,Clothing and Clothing Accessories Stores,6,6,23,765
Uvalde,Food Services and Drinking Places,329,3212,208282,27043945
Uvalde,Food and Beverage Stores,10,11,45,770
Uvalde,Retail Trade,5410,5515,277158,66816858
Val Verde,Accommodation,13,13,106,1804
Val Verde,Accommodation and Food Services,5114,5116,369587,49938367
Val Verde,Clothing and Clothing Accessories Stores,9,9,35,524
Val Verde,Food Services and Drinking Places,3814,3816,263587,31898367
Val Verde,Food and Beverage Stores,18,18,57,819
Val Verde,General Merchandise Stores,4,4,24,1033
Val Verde,Retail Trade,7715,7719,335384,751214329
Van Zandt,Accommodation,8,8,40,552
Van Zandt,Accommodation and Food Services,6614,6614,425436,67247466
Van Zandt,Clothing and Clothing Accessories Stores,5,5,24,625
Van Zandt,Food Services and Drinking Places,5812,5812,385363,61726175
Van Zandt,Food and Beverage Stores,4,4,4,159
Van Zandt,Retail Trade,926,928,436137,112154614
Victoria,Accommodation,14,14,78,1763
Victoria,Accommodation and Food Services,10046,10056,6641555,1158727437
Victoria,Clothing and Clothing Accessories Stores,14,14,71,2074
Victoria,Food Services and Drinking Places,8644,8654,5861504,982426891
Victoria,Food and Beverage Stores,183,183,5493,7801534
Victoria,Retail Trade,17223,17228,857763,2562932004
Walker,Accommodation,17,17,104,1857
Walker,Accommodation and Food Services,6320,6321,350628,586610012
Walker,Clothing and Clothing Accessories Stores,5,5,21,1124
Walker,Food Services and Drinking Places,4619,4620,246554,40098385
Walker,Food and Beverage Stores,7,8,40,1073
Walker,Retail Trade,9311,9512,436369,1183017526
Waller,Accommodation,9,9,58,999
Waller,Accommodation and Food Services,307,308,192204,34022981
Waller,Food Services and Drinking Places,217,218,134204,24032981
Waller,Food and Beverage Stores,9,9,35,675
Waller,Retail Trade,536,537,206149,63395095
Ward,Accommodation,10,10,79,1798
Ward,Accommodation and Food Services,275,275,160172,41373436
Ward,Food Services and Drinking Places,173,173,81117,23392397
Ward,Food and Beverage Stores,4,4,34,602
Ward,Retail Trade,11,11,76,2192
Washington,Accommodation,153,153,8779,18561886
Washington,Accommodation and Food Services,6015,6018,404427,75718554
Washington,Clothing and Clothing Accessories Stores,9,9,31,764
Washington,Food Services and Drinking Places,4512,4515,317348,57156668
Washington,Food and Beverage Stores,7,7,30,690
Washington,Retail Trade,7813,8117,371413,1044914335
Webb,Accommodation,179,179,121224,24193538
Webb,Accommodation and Food Services,20669,20677,13592732,1946341696
Webb,Clothing and Clothing Accessories Stores,588,6110,270215,65485072
Webb,Food Services and Drinking Places,18960,18968,12382508,1704438158
Webb,Food and Beverage Stores,317,329,142235,22134664
Webb,General Merchandise Stores,8,8,15,294
Webb,Retail Trade,35841,36559,15681220,3720034338
Wharton,Accommodation,13,13,30,535
Wharton,Accommodation and Food Services,4915,4917,345497,47386957
Wharton,Clothing and Clothing Accessories Stores,5,5,13,156
Wharton,Food Services and Drinking Places,3615,3617,315497,42036957
Wharton,Food and Beverage Stores,16,16,46,687
Wharton,Retail Trade,1108,1108,494207,122699125
Wheeler,Accommodation,9,9,64,1042
Wheeler,Accommodation and Food Services,203,203,16663,2257706
Wheeler,Food Services and Drinking Places,11,11,102,1215
Wheeler,Retail Trade,16,16,89,2050
Wichita,Accommodation,235,235,163113,29561496
Wichita,Accommodation and Food Services,14560,14765,9381997,1369727936
Wichita,Clothing and Clothing Accessories Stores,17,17,97,2334
Wichita,Food Services and Drinking Places,12255,12460,7751884,1074126440
Wichita,Food and Beverage Stores,27,29,90,1648
Wichita,Retail Trade,24019,24320,1073455,2940718608
Wilbarger,Accommodation,6,6,15,262
Wilbarger,Accommodation and Food Services,206,207,121168,16052759
Wilbarger,Food Services and Drinking Places,145,145,106119,13431790
Wilbarger,Food and Beverage Stores,4,4,12,127
Wilbarger,Retail Trade,23,23,93,2257
Willacy,Accommodation,5,5,18,241
Willacy,Accommodation and Food Services,17,17,92,1064
Willacy,Food Services and Drinking Places,12,12,74,823
Willacy,Food and Beverage Stores,3,3,7,136
Willacy,Retail Trade,11,11,59,1254
Williamson,Accommodation,3820,3820,321541,730910303
Williamson,Accommodation and Food Services,454190,454199,28476497,54535119415
Williamson,Clothing and Clothing Accessories Stores,40,40,143,4075
Williamson,Food Services and Drinking Places,416170,416179,25265956,47226109112
Williamson,Food and Beverage Stores,887,888,328143,62943132
Williamson,General Merchandise Stores,3,3,4,39
Williamson,Retail Trade,67568,68275,26821859,8202982120
Wilson,Accommodation,10,10,46,828
Wilson,Accommodation and Food Services,467,467,281193,41632781
Wilson,Clothing and Clothing Accessories Stores,3,3,2,59
Wilson,Food Services and Drinking Places,366,366,235161,33352242
Wilson,Food and Beverage Stores,7,7,33,356
Wilson,Retail Trade,529,529,246168,62777617
Winkler,Accommodation,3,3,16,316
Winkler,Accommodation and Food Services,8,8,35,740
Winkler,Food Services and Drinking Places,5,5,19,424
Winkler,Food and Beverage Stores,3,3,29,655
Winkler,Retail Trade,12,12,65,1920
Wise,Accommodation,19,19,94,1357
Wise,Accommodation and Food Services,5617,5619,322479,48097318
Wise,Clothing and Clothing Accessories Stores,9,9,27,427
Wise,Food Services and Drinking Places,3717,3719,228479,34527318
Wise,Food and Beverage Stores,15,15,64,1195
Wise,Retail Trade,1068,1088,579264,1539612611
Wood,Accommodation,12,12,48,1262
Wood,Accommodation and Food Services,5315,5316,301400,48965517
Wood,Clothing and Clothing Accessories Stores,4,4,11,136
Wood,Food Services and Drinking Places,4114,4115,253353,36344798
Wood,Food and Beverage Stores,3,3,23,347
Wood,Retail Trade,707,707,375128,104965726
Yoakum,Accommodation and Food Services,18,18,74,1172
Yoakum,Food Services and Drinking Places,16,16,69,1103
Yoakum,Retail Trade,18,18,77,2631
Young,Accommodation,4,4,56,1265
Young,Accommodation and Food Services,256,257,183211,33283488
Young,Clothing and Clothing Accessories Stores,3,3,9,198
Young,Food Services and Drinking Places,216,217,127211,20633488
Young,Retail Trade,423,423,24392,67332350
Zapata,Accommodation,4,4,15,180
Zapata,Accommodation and Food Services,16,16,79,830
Zapata,Food Services and Drinking Places,12,12,64,650
Zapata,Retail Trade,104,104,3658,6061215
Zavala,Accommodation,3,3,9,237
Zavala,Accommodation and Food Services,14,14,85,991
Zavala,Food Services and Drinking Places,11,11,76,754
Zavala,Food and Beverage Stores,3,3,7,80
Zavala,Retail Trade,11,11,36,350
