County_Name,NAICS_Description,Firms,Establishments,Employment,Annual_Payroll
Freestone,Accommodation,8,8,40,569
Freestone,Accommodation and Food Services,177,177,116149,14481798
Freestone,Food Services and Drinking Places,96,96,76121,8791413
Freestone,Food and Beverage Stores,3,3,4,425
Freestone,Retail Trade,327,347,162103,43624143
Frio,Accommodation,17,17,62,839
Frio,Accommodation and Food Services,327,327,166174,22912672
Frio,Food Services and Drinking Places,156,156,104129,14521898
Frio,Food and Beverage Stores,4,4,6,158
Frio,Retail Trade,266,276,147100,50863684
Gaines,Accommodation,4,4,29,472
Gaines,Accommodation and Food Services,245,245,162125,26731880
Gaines,Clothing and Clothing Accessories Stores,5,5,11,336
Gaines,Food Services and Drinking Places,204,204,133103,22011538
Gaines,Food and Beverage Stores,4,4,17,216
Gaines,Retail Trade,38,38,136,4212
Galveston,Accommodation,5119,5119,287564,587010665
Galveston,Accommodation and Food Services,385136,387143,23784901,4473991230
Galveston,Clothing and Clothing Accessories Stores,48,50,196,4178
Galveston,Food Services and Drinking Places,334117,336124,20914337,3886980565
Galveston,Food and Beverage Stores,1036,1076,366270,93666602
Galveston,General Merchandise Stores,6,6,14,182
Galveston,Retail Trade,55227,56232,2175847,5928534210
Garza,Accommodation,5,5,18,286
Garza,Accommodation and Food Services,8,8,32,700
Garza,Food Services and Drinking Places,3,3,14,414
Garza,Food and Beverage Stores,3,3,25,723
Garza,Retail Trade,10,10,63,1663
Gillespie,Accommodation,323,323,17069,29721414
Gillespie,Accommodation and Food Services,8137,8237,5451137,1020423385
Gillespie,Clothing and Clothing Accessories Stores,20,21,103,2260
Gillespie,Food Services and Drinking Places,4934,5034,3751068,723221971
Gillespie,Food and Beverage Stores,163,165,8956,20831241
Gillespie,General Merchandise Stores,4,4,25,772
Gillespie,Retail Trade,13012,13315,716246,184276994
Goliad,Accommodation and Food Services,13,13,52,901
Goliad,Food Services and Drinking Places,11,11,49,835
Goliad,Retail Trade,14,14,61,1841
Gonzales,Accommodation,11,11,84,1673
Gonzales,Accommodation and Food Services,354,354,210113,34371579
Gonzales,Food Services and Drinking Places,244,244,126113,17641579
Gonzales,Food and Beverage Stores,3,3,6,96
Gonzales,Retail Trade,373,373,15784,48743001
Gray,Accommodation,6,6,69,933
Gray,Accommodation and Food Services,298,299,218239,31562767
Gray,Clothing and Clothing Accessories Stores,4,4,17,277
Gray,Food Services and Drinking Places,238,239,149239,22232767
Gray,Food and Beverage Stores,5,6,28,473
Gray,Retail Trade,483,493,208115,53263835
Grayson,Accommodation,18,18,113,2444
Grayson,Accommodation and Food Services,13134,13135,7971166,1332318031
Grayson,Clothing and Clothing Accessories Stores,17,17,39,844
Grayson,Food Services and Drinking Places,11332,11333,6841080,1087917411
Grayson,Food and Beverage Stores,233,253,7372,15911491
Grayson,Retail Trade,23531,24037,959962,2845037190
Gregg,Accommodation,408,408,257229,43233692
Gregg,Accommodation and Food Services,18078,18088,10502514,1774337300
Gregg,Clothing and Clothing Accessories Stores,343,344,14678,29091405
Gregg,Food Services and Drinking Places,14070,14080,7932285,1342033608
Gregg,Food and Beverage Stores,234,244,60112,11422459
Gregg,Retail Trade,30750,31057,12621464,4102659057
Grimes,Accommodation,6,6,31,420
Grimes,Accommodation and Food Services,273,273,16799,29981365
Grimes,Clothing and Clothing Accessories Stores,5,5,6,115
Grimes,Food Services and Drinking Places,213,213,13699,25781365
Grimes,Food and Beverage Stores,5,5,16,261
Grimes,Retail Trade,485,486,19787,59843431
Guadalupe,Accommodation,176,176,111192,17162966
Guadalupe,Accommodation and Food Services,11239,11241,6341468,1109222845
Guadalupe,Clothing and Clothing Accessories Stores,8,8,27,521
Guadalupe,Food Services and Drinking Places,9533,9535,5231276,937619879
