County,NAICS_Description,Enterprise_Size,Firms,Establishments,Employment,Annual_Payroll
Brazoria,General Merchandise Stores,2: <20 employees,9,9,27,517
Brazoria,Food and Beverage Stores,2: <20 employees3: 20-99 employees,465,478,18198,34542256
Brazoria,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,273106,273110,15663565,2846859009
Brazoria,Accommodation and Food Services,2: <20 employees3: 20-99 employees,324121,324125,18623973,3407565672
Brazoria,Retail Trade,2: <20 employees3: 20-99 employees,40540,41146,16431117,4560042788
Brazos,Total,,3878,4467,70078,2683570
Brazos,Accommodation,2: <20 employees3: 20-99 employees,429,429,360263,96224344
Brazos,Accommodation and Food Services,2: <20 employees3: 20-99 employees,22791,227105,17003354,3328851023
Brazos,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,334,334,17577,30941903
Brazos,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,18582,18596,13403091,2366646679
Brazos,Food and Beverage Stores,2: <20 employees3: 20-99 employees,534,534,240106,40221952
Brazos,General Merchandise Stores,2: <20 employees,3,3,18,366
Brazos,Retail Trade,2: <20 employees3: 20-99 employees,37032,37637,1943887,5109336450
Brewster,Retail Trade,2: <20 employees,25,25,158,3840
Brewster,Food and Beverage Stores,2: <20 employees,6,6,63,1098
Brewster,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,206,206,113205,13643116
Brewster,Total,,278,286,2653,72203
Brewster,Accommodation,2: <20 employees3: 20-99 employees,167,167,103292,16956334
Brewster,Accommodation and Food Services,2: <20 employees3: 20-99 employees,3613,3613,216497,30599450
Briscoe,Retail Trade,2: <20 employees,6,6,21,545
Briscoe,Total,,35,36,160,4247
Brooks,Total,,104,113,1541,35543
Brooks,Accommodation,2: <20 employees,5,5,39,825
Brooks,Accommodation and Food Services,2: <20 employees,9,9,68,1307
Brooks,Food Services and Drinking Places,2: <20 employees,4,4,29,482
Brooks,Retail Trade,2: <20 employees,8,8,39,955
Brown,Food and Beverage Stores,2: <20 employees,9,9,42,744
Brown,Accommodation,2: <20 employees3: 20-99 employees,114,114,3994,5281132
Brown,Accommodation and Food Services,2: <20 employees3: 20-99 employees,5123,5125,255663,39749347
Brown,Clothing and Clothing Accessories Stores,2: <20 employees,7,7,20,350
Brown,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,4019,4021,216569,34468215
Brown,Total,,807,871,13182,460589
Brown,Retail Trade,2: <20 employees3: 20-99 employees,829,8214,365254,83518538
Burleson,Accommodation,2: <20 employees,7,7,30,440
Burleson,Accommodation and Food Services,2: <20 employees,32,32,133,1854
Burleson,Total,,314,332,3391,153672
Burleson,Food Services and Drinking Places,2: <20 employees,25,25,103,1414
Burleson,Food and Beverage Stores,2: <20 employees,6,6,19,295
Burleson,Retail Trade,2: <20 employees,41,41,150,3896
Burnet,Accommodation,2: <20 employees3: 20-99 employees,179,1711,109349,244512499
Burnet,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,6018,6022,366614,660910543
Burnet,Clothing and Clothing Accessories Stores,2: <20 employees,11,13,66,1679
Burnet,Accommodation and Food Services,2: <20 employees3: 20-99 employees,7727,7733,475963,905423042
Burnet,Food and Beverage Stores,2: <20 employees,4,4,12,305
Burnet,Total,,1241,1312,12520,508546
Burnet,Retail Trade,2: <20 employees3: 20-99 employees,10712,11013,475317,1201014407
Caldwell,Retail Trade,2: <20 employees3: 20-99 employees,485,485,208104,59374324
Caldwell,Food and Beverage Stores,2: <20 employees,6,6,29,353
Caldwell,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,3110,3110,165301,31177320
Caldwell,Total,,567,613,6161,219313
Caldwell,Accommodation and Food Services,2: <20 employees3: 20-99 employees,4110,4110,222301,41387320
Caldwell,Accommodation,2: <20 employees,10,10,57,1021
Caldwell,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,9,389
Calhoun,Total,,427,444,8265,543359
Calhoun,Accommodation,2: <20 employees3: 20-99 employees,194,194,7283,1789976
Calhoun,Accommodation and Food Services,2: <20 employees3: 20-99 employees,4810,4811,253249,45163577
Calhoun,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,296,297,181166,27272601
Calhoun,Food and Beverage Stores,2: <20 employees,7,7,22,425
Calhoun,Retail Trade,2: <20 employees,39,39,183,5348
Callahan,Accommodation and Food Services,2: <20 employees3: 20-99 employees,65,66,34159,4391572
