County,NAICS_Description,Enterprise_Size,Firms,Establishments,Employment,Annual_Payroll
La Salle,Retail Trade,2: <20 employees,9,9,55,1141
Lamar,Accommodation and Food Services,2: <20 employees3: 20-99 employees,6918,6923,432548,72658422
Lamar,Clothing and Clothing Accessories Stores,2: <20 employees,10,10,46,1023
Lamar,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,5618,5623,378548,61098422
Lamar,Retail Trade,2: <20 employees3: 20-99 employees,11616,12016,548391,1539018030
Lamar,Accommodation,2: <20 employees,13,13,54,1156
Lamar,Food and Beverage Stores,2: <20 employees,12,13,61,1213
Lamar,Total,,1141,1225,18123,701554
Lamb,Total,,207,231,2045,80926
Lamb,Accommodation and Food Services,2: <20 employees,12,12,64,894
Lamb,Food Services and Drinking Places,2: <20 employees,10,10,47,708
Lamb,Food and Beverage Stores,2: <20 employees,3,3,10,81
Lamb,Retail Trade,2: <20 employees,14,14,70,2454
Lampasas,Accommodation and Food Services,2: <20 employees3: 20-99 employees,277,277,169174,26612766
Lampasas,Total,,401,411,4289,141089
Lampasas,Accommodation,2: <20 employees,5,5,38,413
Lampasas,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,227,227,131174,22482766
Lampasas,Food and Beverage Stores,2: <20 employees,6,6,22,568
Lampasas,Retail Trade,2: <20 employees3: 20-99 employees,305,305,118139,33765377
Lavaca,Retail Trade,2: <20 employees3: 20-99 employees,587,598,267134,84222803
Lavaca,Food and Beverage Stores,2: <20 employees,4,4,11,112
Lavaca,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,137,137,66222,8044095
Lavaca,Clothing and Clothing Accessories Stores,2: <20 employees,5,5,25,471
Lavaca,Accommodation and Food Services,2: <20 employees3: 20-99 employees,248,248,111241,11974214
Lavaca,Accommodation,2: <20 employees,11,11,45,393
Lavaca,Total,,445,476,5519,215190
Lee,Food and Beverage Stores,2: <20 employees,10,10,57,1380
Lee,Retail Trade,2: <20 employees3: 20-99 employees,453,453,24994,66193027
Lee,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,223,233,8258,14411197
Lee,Total,,407,420,6023,301393
Lee,Accommodation and Food Services,2: <20 employees3: 20-99 employees,303,313,11658,18851197
Lee,Accommodation,2: <20 employees,8,8,34,444
Lee,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,11,102
Leon,Total,,330,346,4217,245221
Leon,Retail Trade,2: <20 employees3: 20-99 employees,395,395,207143,49612574
Leon,Accommodation,2: <20 employees,9,9,72,885
Leon,Accommodation and Food Services,2: <20 employees3: 20-99 employees,366,367,178144,25041870
Leon,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,275,276,106118,16191560
Leon,Food and Beverage Stores,2: <20 employees,3,3,11,327
Liberty,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,4311,4311,216345,30087141
Liberty,Accommodation and Food Services,2: <20 employees3: 20-99 employees,5812,5812,315384,47657943
Liberty,Total,,995,1102,13458,593476
Liberty,Retail Trade,2: <20 employees3: 20-99 employees,12313,12616,562450,1312320010
Liberty,Accommodation,2: <20 employees,15,15,99,1757
Liberty,Clothing and Clothing Accessories Stores,2: <20 employees,8,8,19,476
Liberty,Food and Beverage Stores,2: <20 employees,22,22,104,2143
Limestone,Accommodation,2: <20 employees,4,4,32,386
Limestone,Accommodation and Food Services,2: <20 employees3: 20-99 employees,263,264,173108,21191258
Limestone,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,9,146
Limestone,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,223,224,141108,17331258
Limestone,General Merchandise Stores,2: <20 employees,4,4,19,559
Limestone,Retail Trade,2: <20 employees,58,58,227,5960
Limestone,Total,,351,388,4907,203295
Limestone,Food and Beverage Stores,2: <20 employees,9,9,23,379
Lipscomb,Retail Trade,2: <20 employees,5,5,37,866
Lipscomb,Total,,73,77,880,55291
Live Oak,Total,,262,285,3283,204931
Live Oak,Accommodation and Food Services,2: <20 employees3: 20-99 employees,236,236,168102,27811932
Live Oak,Accommodation,2: <20 employees,8,8,51,861
Live Oak,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,155,155,11797,19201838
Live Oak,Food and Beverage Stores,2: <20 employees,3,3,11,104
Live Oak,Retail Trade,2: <20 employees,23,24,124,5008
Llano,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,15,836
Llano,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,285,285,144158,29843010
Llano,Food and Beverage Stores,2: <20 employees,5,5,19,324
Llano,Retail Trade,2: <20 employees3: 20-99 employees,417,438,212138,64713704
Llano,Accommodation,2: <20 employees,7,7,11,245
Llano,Total,,443,473,3722,120736
Llano,Accommodation and Food Services,2: <20 employees3: 20-99 employees,355,355,155158,32293010
Loving,Total,,3,5,21,1919
Lubbock,Total,,6236,7319,115667,4468620
Lubbock,Accommodation,2: <20 employees3: 20-99 employees,5615,5615,381509,66778123
Lubbock,Retail Trade,2: <20 employees3: 20-99 employees,43460,44282,21391742,6403865925
Lubbock,Food and Beverage Stores,2: <20 employees3: 20-99 employees,463,494,26474,3758937
Lubbock,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,272133,272151,18424663,3005172704
Lubbock,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,526,528,311182,64644252
Lubbock,Accommodation and Food Services,2: <20 employees3: 20-99 employees,328148,328166,22235172,3672880827
Lynn,Total,,80,85,735,29489
Lynn,Food Services and Drinking Places,2: <20 employees,4,4,14,41
Lynn,Accommodation and Food Services,2: <20 employees,4,4,14,41
Madison,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,266,266,256155,27472157
Madison,Retail Trade,2: <20 employees3: 20-99 employees,204,204,71139,20416857
Madison,Total,,250,256,2760,90665
Madison,Accommodation,2: <20 employees,6,6,45,588
Madison,Accommodation and Food Services,2: <20 employees3: 20-99 employees,326,326,301155,33352157
Marion,Total,,152,154,1722,57076
Marion,Food and Beverage Stores,2: <20 employees,4,4,13,160
Marion,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,96,96,52220,5823215
Marion,Accommodation,2: <20 employees,6,6,42,641
Marion,Retail Trade,2: <20 employees,20,20,91,1608
Marion,Accommodation and Food Services,2: <20 employees3: 20-99 employees,156,156,94220,12233215
Martin,Total,,112,115,1288,69606
Martin,Accommodation,2: <20 employees,3,3,42,811
Martin,Accommodation and Food Services,2: <20 employees,6,6,78,1287
Martin,Food Services and Drinking Places,2: <20 employees,3,3,36,476
Martin,Retail Trade,2: <20 employees,9,9,74,5230
Mason,Food Services and Drinking Places,2: <20 employees,12,12,53,595
Mason,Retail Trade,2: <20 employees,20,20,81,1990
Mason,Total,,141,143,830,24931
Mason,Accommodation and Food Services,2: <20 employees,14,14,58,653
Matagorda,Accommodation,2: <20 employees,24,24,124,1702
Matagorda,Accommodation and Food Services,2: <20 employees3: 20-99 employees,7011,7011,388301,54666855
Matagorda,Clothing and Clothing Accessories Stores,2: <20 employees,7,7,34,828
Matagorda,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,469,469,264252,37645987
Matagorda,Retail Trade,2: <20 employees3: 20-99 employees,857,8512,384108,99843631
Matagorda,Food and Beverage Stores,2: <20 employees,21,21,99,1552
Matagorda,Total,,688,735,8186,478415
Maverick,Total,,742,818,12503,336690
Maverick,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,3110,3110,155370,19854825
Maverick,Accommodation,2: <20 employees,12,13,103,1528
Maverick,Food and Beverage Stores,2: <20 employees,9,9,50,1372
Maverick,General Merchandise Stores,2: <20 employees,4,4,20,293
Maverick,Retail Trade,2: <20 employees3: 20-99 employees,817,817,340131,87853823
Maverick,Accommodation and Food Services,2: <20 employees3: 20-99 employees,4311,4411,258391,35135128
Maverick,Clothing and Clothing Accessories Stores,2: <20 employees,15,15,76,1503
McCulloch,Total,,209,216,2400,103256
McCulloch,Accommodation,2: <20 employees,4,4,17,322
McCulloch,Accommodation and Food Services,2: <20 employees3: 20-99 employees,173,173,97121,13151564
McCulloch,Food Services and Drinking Places,2: <20 employees,13,13,80,993
McCulloch,Retail Trade,2: <20 employees3: 20-99 employees,213,214,12451,31722207
McLennan,Accommodation,2: <20 employees3: 20-99 employees,3811,3811,220360,40666278
McLennan,Food and Beverage Stores,2: <20 employees3: 20-99 employees,593,603,23477,4657840
McLennan,Total,,4501,5310,105717,4231813
McLennan,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,20977,20988,13472721,2206640399
McLennan,General Merchandise Stores,2: <20 employees,3,3,18,271
McLennan,Retail Trade,2: <20 employees3: 20-99 employees,42256,42862,19311804,4955774859
McLennan,Accommodation and Food Services,2: <20 employees3: 20-99 employees,24788,24799,15673081,2613246677
McLennan,Clothing and Clothing Accessories Stores,2: <20 employees,42,43,236,4168
McMullen,Total,,39,46,470,50537
McMullen,Accommodation and Food Services,2: <20 employees,4,4,16,549
Medina,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,4215,4215,228513,25577237
Medina,Accommodation,2: <20 employees,11,11,41,674
Medina,Accommodation and Food Services,2: <20 employees3: 20-99 employees,5317,5317,269554,32317907
Medina,Retail Trade,2: <20 employees3: 20-99 employees,5511,5516,217368,492521199
Medina,Food and Beverage Stores,2: <20 employees,11,11,55,920
Medina,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,7,65
Medina,Total,,705,764,7683,264568
Menard,Total,,44,44,204,6040
Menard,Accommodation and Food Services,2: <20 employees,4,4,25,329
Menard,Food Services and Drinking Places,2: <20 employees,3,3,23,310
Menard,Retail Trade,2: <20 employees,4,4,13,189
Midland,Total,,4874,5567,96217,7225543
Midland,Accommodation,2: <20 employees3: 20-99 employees,2517,2717,150558,468511661
Midland,Accommodation and Food Services,2: <20 employees3: 20-99 employees,17088,172101,10342973,2492167114
Midland,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,313,313,15849,34872437
Midland,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,14571,14584,8842415,2023655453
Midland,Food and Beverage Stores,2: <20 employees,19,19,75,1733
Midland,Retail Trade,2: <20 employees3: 20-99 employees,20834,20937,1037803,3972539002
Milam,Accommodation,2: <20 employees,9,9,51,546
Milam,Accommodation and Food Services,2: <20 employees3: 20-99 employees,296,298,199151,24661414
Milam,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,206,208,148151,19201414
Milam,Food and Beverage Stores,2: <20 employees,6,6,19,236
Milam,Retail Trade,2: <20 employees,36,36,153,4360
Milam,Total,,384,417,4463,183672
Mills,Accommodation and Food Services,2: <20 employees,5,5,26,457
Mills,Food Services and Drinking Places,2: <20 employees,5,5,26,457
Mills,Retail Trade,2: <20 employees,16,16,124,4258
Mills,Total,,112,113,867,25703
Mitchell,Retail Trade,2: <20 employees,20,21,87,2161
Mitchell,Accommodation,2: <20 employees,4,4,30,545
Mitchell,Accommodation and Food Services,2: <20 employees,13,13,114,1513
Mitchell,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,16,497
Mitchell,Food Services and Drinking Places,2: <20 employees,9,9,84,968
Mitchell,Total,,135,138,1206,52610
Montague,Accommodation,2: <20 employees,4,4,21,316
Montague,Accommodation and Food Services,2: <20 employees3: 20-99 employees,215,215,103150,15981805
Montague,Clothing and Clothing Accessories Stores,2: <20 employees,5,5,11,179
Montague,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,175,175,82150,12821805
Montague,Food and Beverage Stores,2: <20 employees,4,4,10,99
Montague,Total,,419,437,3575,173928
Montague,Retail Trade,2: <20 employees3: 20-99 employees,544,545,193172,40495254
Montgomery,Total,,10252,11970,167929,9507066
Montgomery,Accommodation,2: <20 employees3: 20-99 employees,378,388,313250,55734996
Montgomery,General Merchandise Stores,2: <20 employees,5,5,34,766
Montgomery,Food and Beverage Stores,2: <20 employees3: 20-99 employees,1096,11112,400135,80773187
Montgomery,Accommodation and Food Services,2: <20 employees3: 20-99 employees,454171,455180,29726081,55361111455
Montgomery,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,456,456,19538,4566716
Montgomery,Retail Trade,2: <20 employees3: 20-99 employees,71866,73377,30151338,8717653348
Montgomery,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,417163,417172,26595831,49788106459
Moore,Accommodation,2: <20 employees,9,9,40,483
Moore,Accommodation and Food Services,2: <20 employees3: 20-99 employees,297,298,140242,19834347
Moore,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,8,68
Moore,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,205,206,100192,15003683
Moore,Food and Beverage Stores,2: <20 employees,7,7,16,312
Moore,Retail Trade,2: <20 employees3: 20-99 employees,287,287,119101,36333971
Moore,Total,,427,452,8015,366858
Morris,Total,,199,216,2961,146818
Morris,Accommodation and Food Services,2: <20 employees,12,12,93,1391
Morris,Food Services and Drinking Places,2: <20 employees,12,12,93,1391
Morris,Food and Beverage Stores,2: <20 employees,10,10,43,846
Morris,Retail Trade,2: <20 employees3: 20-99 employees,234,234,10446,17821273
Motley,Total,,24,24,164,4628
Nacogdoches,Accommodation and Food Services,2: <20 employees3: 20-99 employees,6022,6024,398646,55598757
Nacogdoches,Clothing and Clothing Accessories Stores,2: <20 employees,10,10,31,817
Nacogdoches,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,4420,4422,305602,40448117
Nacogdoches,Food and Beverage Stores,2: <20 employees3: 20-99 employees,183,183,8979,14611302
Nacogdoches,Retail Trade,2: <20 employees3: 20-99 employees,11515,11618,529442,1286018874
Nacogdoches,Accommodation,2: <20 employees,16,16,93,1515
Nacogdoches,Total,,1166,1274,18415,637205
Navarro,Total,,851,943,13689,484436
Navarro,Food and Beverage Stores,2: <20 employees,12,12,50,836
Navarro,Retail Trade,2: <20 employees3: 20-99 employees,8713,8717,355332,801112974
Navarro,Clothing and Clothing Accessories Stores,2: <20 employees,4,4,14,180
Navarro,Accommodation,2: <20 employees,10,10,84,1204
Navarro,Accommodation and Food Services,2: <20 employees3: 20-99 employees,3315,3315,210441,32405770
Navarro,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,2313,2313,126383,20365146
Newton,Total,,122,125,852,25692
Newton,Food and Beverage Stores,2: <20 employees,6,6,19,356
Newton,Retail Trade,2: <20 employees,21,21,95,1489
Newton,Food Services and Drinking Places,2: <20 employees,4,4,15,71
Newton,Accommodation and Food Services,2: <20 employees,4,4,15,71
Nolan,Accommodation and Food Services,2: <20 employees3: 20-99 employees,216,217,112178,20482303
Nolan,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,13,206
Nolan,Food and Beverage Stores,2: <20 employees,7,7,18,277
Nolan,Retail Trade,2: <20 employees,27,27,87,1960
Nolan,Total,,327,345,5175,229522
Nolan,Accommodation,2: <20 employees3: 20-99 employees,63,63,4485,8881093
Nolan,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,153,154,6893,11601210
Nueces,Total,,6607,8128,140495,6097933
Nueces,General Merchandise Stores,2: <20 employees,5,5,18,180
Nueces,Accommodation,2: <20 employees3: 20-99 employees,7123,7424,482799,972713185
Nueces,Accommodation and Food Services,2: <20 employees3: 20-99 employees,494153,498173,34625632,6383899050
Nueces,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,494,524,18583,36561006
Nueces,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,423130,424149,29804833,5411185865
Nueces,Food and Beverage Stores,2: <20 employees3: 20-99 employees,616,6313,278145,52583846
Nueces,Retail Trade,2: <20 employees3: 20-99 employees,47253,48565,21861397,6444045669
Ochiltree,Accommodation,2: <20 employees,4,4,49,821
Ochiltree,Accommodation and Food Services,2: <20 employees3: 20-99 employees,114,124,106110,14251990
Ochiltree,Clothing and Clothing Accessories Stores,2: <20 employees,4,4,14,161
Ochiltree,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,74,84,57110,6041990
Ochiltree,Food and Beverage Stores,2: <20 employees,3,3,16,278
Ochiltree,Retail Trade,2: <20 employees3: 20-99 employees,243,244,12138,45291368
Ochiltree,Total,,319,341,3611,195842
Oldham,Total,,49,50,576,20717
Oldham,Retail Trade,2: <20 employees,7,7,30,698
Oldham,Food and Beverage Stores,2: <20 employees,3,3,12,159
Oldham,Food Services and Drinking Places,2: <20 employees,6,6,24,321
Oldham,Accommodation and Food Services,2: <20 employees,9,9,33,431
Oldham,Accommodation,2: <20 employees,3,3,9,110
Orange,Accommodation and Food Services,2: <20 employees3: 20-99 employees,8916,8917,537544,84408563
Orange,Food and Beverage Stores,2: <20 employees,33,33,108,2042
Orange,Retail Trade,2: <20 employees3: 20-99 employees,15214,15417,546428,1369915211
Orange,Total,,1176,1309,18685,956479
Orange,Accommodation,2: <20 employees,19,19,148,2701
Orange,Clothing and Clothing Accessories Stores,2: <20 employees,9,9,36,731
Orange,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,7015,7016,389518,57398370
Palo Pinto,Accommodation,2: <20 employees,11,11,35,720
Palo Pinto,Retail Trade,2: <20 employees3: 20-99 employees,515,527,243103,61152997
Palo Pinto,Food and Beverage Stores,2: <20 employees,7,7,44,918
Palo Pinto,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,398,398,206233,36893983
Palo Pinto,Accommodation and Food Services,2: <20 employees3: 20-99 employees,509,509,241234,44094033
Palo Pinto,Total,,581,606,5978,231126
Panola,Retail Trade,2: <20 employees3: 20-99 employees,385,415,197112,43834408
Panola,Food and Beverage Stores,2: <20 employees,5,5,36,651
Panola,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,124,124,45174,5592949
Panola,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,10,104
Panola,Accommodation and Food Services,2: <20 employees3: 20-99 employees,194,194,107174,13292949
Panola,Total,,456,480,6456,287173
Panola,Accommodation,2: <20 employees,7,7,62,770
Parker,Total,,2743,2898,29715,1324011
Parker,Accommodation and Food Services,2: <20 employees3: 20-99 employees,12039,12541,8971253,1587020212
Parker,Clothing and Clothing Accessories Stores,2: <20 employees,16,16,60,905
Parker,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,9639,10141,7321253,1273520212
Parker,Food and Beverage Stores,2: <20 employees,19,19,56,1194
Parker,Retail Trade,2: <20 employees3: 20-99 employees,21519,21724,995631,2912219897
Parker,Accommodation,2: <20 employees,24,24,165,3135
Parmer,Total,,189,203,3585,155774
Parmer,Accommodation and Food Services,2: <20 employees,8,8,35,307
Parmer,Food Services and Drinking Places,2: <20 employees,7,7,26,278
Parmer,Retail Trade,2: <20 employees,11,11,53,1380
Pecos,Food and Beverage Stores,2: <20 employees,5,5,29,447
Pecos,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,225,225,122187,15893512
Pecos,Accommodation,2: <20 employees3: 20-99 employees,116,116,84139,12062601
Pecos,Retail Trade,2: <20 employees,29,29,198,6537
Pecos,Accommodation and Food Services,2: <20 employees3: 20-99 employees,3311,3311,206326,27956113
Pecos,Total,,311,343,4046,179133
Polk,Total,,720,766,8505,318663
Polk,Retail Trade,2: <20 employees3: 20-99 employees,854,874,387103,115494667
Polk,Food and Beverage Stores,2: <20 employees,7,7,30,549
Polk,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,3110,3110,212309,33165251
Polk,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,4,45
Polk,Accommodation and Food Services,2: <20 employees3: 20-99 employees,4211,4211,263339,41515434
Polk,Accommodation,2: <20 employees,11,11,51,835
Potter,Retail Trade,2: <20 employees3: 20-99 employees,23222,23323,1169493,3676516476
Potter,Total,,3059,3500,61160,2600177
Potter,Food and Beverage Stores,2: <20 employees3: 20-99 employees,274,284,11962,26221230
Potter,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,14567,14573,9442232,1872334074
Potter,Clothing and Clothing Accessories Stores,2: <20 employees,32,32,199,4980
Potter,Accommodation and Food Services,2: <20 employees3: 20-99 employees,17884,17891,12242788,2387043840
Potter,Accommodation,2: <20 employees3: 20-99 employees,3317,3318,280556,51479766
Potter,General Merchandise Stores,2: <20 employees,3,3,10,234
Presidio,Accommodation and Food Services,2: <20 employees3: 20-99 employees,214,214,133161,22043126
Presidio,Food Services and Drinking Places,2: <20 employees,15,15,95,1806
Presidio,Total,,118,125,1023,23725
Presidio,Accommodation,2: <20 employees3: 20-99 employees,63,63,38131,3982814
Presidio,Retail Trade,2: <20 employees,16,16,63,1260
Rains,Accommodation and Food Services,2: <20 employees,11,11,86,1338
Rains,Food Services and Drinking Places,2: <20 employees,9,9,74,1170
Rains,Retail Trade,2: <20 employees,18,18,96,2797
Rains,Total,,178,183,1423,45195
Randall,Accommodation,2: <20 employees3: 20-99 employees,54,54,39107,7571236
Randall,Accommodation and Food Services,2: <20 employees3: 20-99 employees,10354,10357,6601810,1305228069
Randall,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,9850,9853,6211703,1229526833
Randall,Food and Beverage Stores,2: <20 employees3: 20-99 employees,104,106,54117,7302261
Randall,Retail Trade,2: <20 employees3: 20-99 employees,17725,17828,811664,2509425181
Randall,Clothing and Clothing Accessories Stores,2: <20 employees,23,23,97,1953
Randall,Total,,2392,2644,32374,1402311
Reagan,Retail Trade,2: <20 employees,6,6,38,1552
Reagan,Food Services and Drinking Places,2: <20 employees,3,3,40,546
Reagan,Accommodation and Food Services,2: <20 employees,9,9,78,1386
Reagan,Accommodation,2: <20 employees,6,6,38,840
Reagan,Total,,127,131,2014,123437
Real,Retail Trade,2: <20 employees,13,13,48,868
Real,Food and Beverage Stores,2: <20 employees,4,4,23,292
Real,Food Services and Drinking Places,2: <20 employees,7,7,31,482
Real,Accommodation and Food Services,2: <20 employees,14,14,56,1155
Real,Accommodation,2: <20 employees,7,7,25,673
Real,Total,,80,82,573,15090
Red River,Food Services and Drinking Places,2: <20 employees,9,9,37,447
Red River,Total,,160,168,1260,45779
Red River,Retail Trade,2: <20 employees,23,23,113,2195
Red River,Accommodation and Food Services,2: <20 employees,10,10,39,478
Red River,Food and Beverage Stores,2: <20 employees,4,4,11,143
Reeves,Accommodation,2: <20 employees3: 20-99 employees,115,115,81165,17694239
Reeves,Total,,309,340,5409,327416
Reeves,Accommodation and Food Services,2: <20 employees3: 20-99 employees,289,289,190340,40898084
Reeves,Clothing and Clothing Accessories Stores,2: <20 employees,5,5,8,220
Reeves,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,174,174,109175,23203845
Reeves,Food and Beverage Stores,2: <20 employees,5,5,22,618
Reeves,Retail Trade,2: <20 employees,16,16,72,2319
Refugio,Accommodation and Food Services,2: <20 employees,9,9,61,912
Refugio,Food and Beverage Stores,2: <20 employees,4,4,31,856
Refugio,Total,,133,138,1689,75818
Refugio,Retail Trade,2: <20 employees3: 20-99 employees,73,73,5956,14781320
Refugio,Food Services and Drinking Places,2: <20 employees,8,8,47,830
Roberts,Total,,20,20,178,11581
Robertson,Food and Beverage Stores,2: <20 employees,6,6,36,492
Robertson,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,95,97,51172,8952737
Robertson,Accommodation and Food Services,2: <20 employees3: 20-99 employees,116,118,65205,11783415
Robertson,Retail Trade,2: <20 employees3: 20-99 employees,355,355,173119,36543288
Robertson,Total,,240,267,2895,120063
Rockwall,Total,,2207,2359,27531,1080854
Rockwall,Retail Trade,2: <20 employees3: 20-99 employees,14319,14319,628592,1843027048
Rockwall,Food and Beverage Stores,2: <20 employees,13,13,67,1505
Rockwall,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,9250,9257,4961828,998630783
Rockwall,Accommodation and Food Services,2: <20 employees3: 20-99 employees,10153,10160,5731913,1145032036
Rockwall,Accommodation,2: <20 employees3: 20-99 employees,93,93,7785,14641253
Rockwall,Clothing and Clothing Accessories Stores,2: <20 employees,12,12,54,1723
Runnels,Total,,211,219,2148,78617
Runnels,Retail Trade,2: <20 employees3: 20-99 employees,184,194,10997,28521625
Runnels,Food and Beverage Stores,2: <20 employees,4,4,21,239
Runnels,Food Services and Drinking Places,2: <20 employees,12,12,67,941
Runnels,Accommodation and Food Services,2: <20 employees,15,15,76,1069
Runnels,Accommodation,2: <20 employees,3,3,9,128
Rusk,Total,,747,800,9901,449533
Rusk,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,3316,3317,165460,25475784
Rusk,Accommodation,2: <20 employees,6,6,20,326
Rusk,Accommodation and Food Services,2: <20 employees3: 20-99 employees,3917,3919,185500,28736346
Rusk,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,5,87
Rusk,Food and Beverage Stores,2: <20 employees,5,5,11,226
Rusk,Retail Trade,2: <20 employees3: 20-99 employees,5110,5114,171195,44106889
Sabine,Retail Trade,2: <20 employees,23,23,87,2028
Sabine,Food and Beverage Stores,2: <20 employees,8,8,15,289
Sabine,Food Services and Drinking Places,2: <20 employees,5,5,35,474
Sabine,Accommodation,2: <20 employees,3,3,23,450
Sabine,Total,,161,171,1587,55987
Sabine,Accommodation and Food Services,2: <20 employees,8,8,58,924
San Augustine,Total,,126,129,1285,45081
San Augustine,Accommodation and Food Services,2: <20 employees,7,7,35,534
San Augustine,Food Services and Drinking Places,2: <20 employees,5,5,18,274
San Augustine,Food and Beverage Stores,2: <20 employees,3,3,15,211
San Augustine,Retail Trade,2: <20 employees,19,19,99,2892
San Jacinto,Retail Trade,2: <20 employees,23,23,86,1961
San Jacinto,Total,,198,203,994,32715
San Jacinto,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,93,93,6467,916803
San Jacinto,Accommodation and Food Services,2: <20 employees3: 20-99 employees,113,113,6867,1018803
San Jacinto,Food and Beverage Stores,2: <20 employees,6,6,19,375
San Patricio,Accommodation,2: <20 employees3: 20-99 employees,294,294,21475,2917937
San Patricio,Accommodation and Food Services,2: <20 employees3: 20-99 employees,8525,8527,512701,755411070
San Patricio,Clothing and Clothing Accessories Stores,2: <20 employees,4,4,7,235
San Patricio,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,5621,5623,298626,463710133
San Patricio,Food and Beverage Stores,2: <20 employees,9,9,22,340
San Patricio,Retail Trade,2: <20 employees3: 20-99 employees,699,6910,229266,580311978
San Patricio,Total,,902,1055,15976,795079
San Saba,Accommodation,2: <20 employees,7,7,17,214
San Saba,Accommodation and Food Services,2: <20 employees,16,16,71,892
San Saba,Food Services and Drinking Places,2: <20 employees,9,9,54,678
San Saba,Food and Beverage Stores,2: <20 employees,6,6,24,337
San Saba,Retail Trade,2: <20 employees,23,23,109,2471
San Saba,Total,,141,146,827,24434
Schleicher,Total,,52,52,545,25943
Schleicher,Retail Trade,2: <20 employees,4,4,8,86
Scurry,Total,,380,415,4929,255599
Scurry,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,187,187,106199,10492792
Scurry,Accommodation,2: <20 employees,9,9,82,1289
Scurry,Accommodation and Food Services,2: <20 employees3: 20-99 employees,278,278,188227,23383076
Scurry,Food and Beverage Stores,2: <20 employees,4,4,7,68
Scurry,Retail Trade,2: <20 employees3: 20-99 employees,246,246,77116,22375730
Shackelford,Total,,128,130,1196,82231
Shackelford,Retail Trade,2: <20 employees,12,12,66,1599
Shackelford,Accommodation and Food Services,2: <20 employees,5,5,36,278
Shackelford,Food Services and Drinking Places,2: <20 employees,4,4,33,261
Shelby,Total,,466,501,6560,242042
Shelby,Accommodation,2: <20 employees,8,9,67,1458
Shelby,Retail Trade,2: <20 employees3: 20-99 employees,438,438,180160,50734664
Shelby,Accommodation and Food Services,2: <20 employees3: 20-99 employees,216,226,174165,29492799
Shelby,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,136,136,107165,14912799
Shelby,Food and Beverage Stores,2: <20 employees,9,9,32,470
Sherman,Retail Trade,2: <20 employees,5,5,21,706
Sherman,Total,,61,63,345,14342
